,questions,answer_texts
0,"['When did The Carpenters sign with A&M Records?', 'What song was their first hit?', 'When did Karen die?', 'Karen had what eating problem?', 'and how did she die?']","['1969', '(They Long to Be) Close to You', '1983', 'anorexia nervosa', 'heart failure']"
1,"['Does Bradley Cooper star in American Hustle?', 'When was he born?', 'And who composed?', 'Did the movie win a Golden Globe award?', 'How long is the movie?']","['Yes', '5 January 1975', 'Danny Elfman', 'Yes', '138 minute']"
2,"['What year did the Carpenters sign with A&M Records?', 'What song was their first hit?', ""What's the date of Karen's death?"", 'What disorder did Karen have?', 'What caused her death?']","['1969', '(They Long to Be) Close to You', '1983', 'anorexia nervosa', 'heart failure']"
3,"['Which author wrote the novel 1Q84?', ""author's nationality?"", 'he won the World Fantasy Award for?', 'is he a recipient of Franz Kafka award?', 'when?']","['Haruki Murakami', 'Japan', 'Kafka on the shore', 'Yes', '2006']"
4,"['Which famous author wrote the fantasy book series Harry Potter?', 'Which book was the first one written?', 'What novel was the final one?', 'What character joins Harry Potter after being saved by him?', 'The series consists of which amount of books?']","['J. K. Rowling', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Deathly Hallows', 'Hermione Granger', '7']"
5,"['Lethal Weapon is on what network?', 'What was the first episode date?', 'Where is it set?', ""What's the name of the two cops?"", 'What actors played those roles?']","['Fox Broadcasting Company', '21 September 2016', 'Los Angeles', 'Martin Riggs; Roger Murtaugh', 'Clayne Crawford; Damon Wayans']"
6,"['From which country is the band Queen ?', 'and when were they founded ?', 'Who influenced the band ?', 'How many awards did they recieve ?', 'Place where the band formed?']","['United Kingdom', '1970', 'The Beatles;The Who', '3', 'London']"
7,"['What band in known for albums such as ""the dark side of the moon"" and ""the wall""?', 'What lead singer is no longer part of Pink Floyd?', 'Who was the orignial lead vocalist of Pink Floyd?', 'Who is the leader in 2018?', 'What album from Pink Flotd became a movie?']","['Pink Floyd', 'Roger Waters', 'Syd Barrett', 'David Gilmour', 'The Wall']"
8,"['How many seasons of Friends were there?', 'Who produced the show?', 'Who distributed the show?', 'What was the theme song called?', 'Where did Jennifer Aniston and David Schwimmer both work?']","['10', 'David Crane;Marta Kauffman', 'Warner Bros. Television Distribution', ""I'll Be There for You"", 'Friends']"
9,"['What was Elvis Presley given name?', 'What is Elvis Presley birthday?', 'Where did Elvis Presley live?', 'Was Elvis in the military?', 'What year did Elvis sing Jailhouse Rock?']","['Elvis Aaron Presley', '8 January 1935', 'Graceland', 'United States Army', '1957']"
